U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
-0.777761553,-0.122260054,0.959496757,0.809761937,0.584578687,0.347089706,0.502621142,0.977552665
-0.483870608,-0.777761553,-0.122260054,0.959496757,0.74344339,0.584578687,0.347089706,0.502621142
-0.182560308,-0.483870608,-0.777761553,-0.122260054,0.673098662,0.74344339,0.584578687,0.347089706
0.189792148,-0.182560308,-0.483870608,-0.777761553,0.699909513,0.673098662,0.74344339,0.584578687
-0.475576504,0.189792148,-0.182560308,-0.483870608,0.412434836,0.699909513,0.673098662,0.74344339
0.205686179,-0.475576504,0.189792148,-0.182560308,0.902091761,0.412434836,0.699909513,0.673098662
0.422431561,0.205686179,-0.475576504,0.189792148,0.569639028,0.902091761,0.412434836,0.699909513
-0.556506532,0.422431561,0.205686179,-0.475576504,0.371233052,0.569639028,0.902091761,0.412434836
-0.765164698,-0.556506532,0.422431561,0.205686179,0.704931421,0.371233052,0.569639028,0.902091761
-0.406648254,-0.765164698,-0.556506532,0.422431561,0.714421202,0.704931421,0.371233052,0.569639028
-0.362443396,-0.406648254,-0.765164698,-0.556506532,0.614670861,0.714421202,0.704931421,0.371233052
-0.151666481,-0.362443396,-0.406648254,-0.765164698,0.690137664,0.614670861,0.714421202,0.704931421
0.015716569,-0.151666481,-0.362443396,-0.406648254,0.641096867,0.690137664,0.614670861,0.714421202
-0.828968406,0.015716569,-0.151666481,-0.362443396,0.39739148,0.641096867,0.690137664,0.614670861
-0.475035531,-0.828968406,0.015716569,-0.151666481,0.845550715,0.39739148,0.641096867,0.690137664
0.602029246,-0.475035531,-0.828968406,0.015716569,0.834861655,0.845550715,0.39739148,0.641096867
-0.941559445,0.602029246,-0.475035531,-0.828968406,0.129001582,0.834861655,0.845550715,0.39739148
0.857708279,-0.941559445,0.602029246,-0.475035531,1.382633255,0.129001582,0.834861655,0.845550715
0.460661726,0.857708279,-0.941559445,0.602029246,0.277556651,1.382633255,0.129001582,0.834861655
-0.022782052,0.460661726,0.857708279,-0.941559445,0.638850123,0.277556651,1.382633255,0.129001582
0.157050122,-0.022782052,0.460661726,0.857708279,0.656281071,0.638850123,0.277556651,1.382633255
-0.52543284,0.157050122,-0.022782052,0.460661726,0.425289012,0.656281071,0.638850123,0.277556651
-0.082302344,-0.52543284,0.157050122,-0.022782052,0.838666355,0.425289012,0.656281071,0.638850123
0.926177079,-0.082302344,-0.52543284,0.157050122,0.800107436,0.838666355,0.425289012,0.656281071
0.093611437,0.926177079,-0.082302344,-0.52543284,0.301072134,0.800107436,0.838666355,0.425289012
0.042271662,0.093611437,0.926177079,-0.082302344,0.751081377,0.301072134,0.800107436,0.838666355
-0.536811227,0.042271662,0.093611437,0.926177079,0.424191382,0.751081377,0.301072134,0.800107436
-0.022204512,-0.536811227,0.042271662,0.093611437,0.857645064,0.424191382,0.751081377,0.301072134
0.248120176,-0.022204512,-0.536811227,0.042271662,0.607007365,0.857645064,0.424191382,0.751081377
0.358271082,0.248120176,-0.022204512,-0.536811227,0.637406401,0.607007365,0.857645064,0.424191382
-0.208969569,0.358271082,0.248120176,-0.022204512,0.450998215,0.637406401,0.607007365,0.857645064
-0.265126703,-0.208969569,0.358271082,0.248120176,0.685589919,0.450998215,0.637406401,0.607007365
0.975964006,-0.265126703,-0.208969569,0.358271082,0.916793121,0.685589919,0.450998215,0.637406401
-0.924522268,0.975964006,-0.265126703,-0.208969569,-0.002215058,0.916793121,0.685589919,0.450998215
0.770336016,-0.924522268,0.975964006,-0.265126703,1.47216066,-0.002215058,0.916793121,0.685589919
0.826573655,0.770336016,-0.924522268,0.975964006,0.380047064,1.47216066,-0.002215058,0.916793121
0.592367747,0.826573655,0.770336016,-0.924522268,0.624732809,0.380047064,1.47216066,-0.002215058
