U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
-0.459903491,0.498713154,0.998815225,0.580611184,0.430249338,0.43918199,0.6282713,0.809133359
-0.995686987,-0.459903491,0.498713154,0.998815225,0.58822809,0.430249338,0.43918199,0.6282713
-0.616040459,-0.995686987,-0.459903491,0.498713154,0.774328467,0.58822809,0.430249338,0.43918199
0.329990826,-0.616040459,-0.995686987,-0.459903491,0.830903349,0.774328467,0.58822809,0.430249338
0.972630067,0.329990826,-0.616040459,-0.995686987,0.690338745,0.830903349,0.774328467,0.58822809
0.721037711,0.972630067,0.329990826,-0.616040459,0.480067804,0.690338745,0.830903349,0.774328467
-0.193473392,0.721037711,0.972630067,0.329990826,0.410965061,0.480067804,0.690338745,0.830903349
-0.93010595,-0.193473392,0.721037711,0.972630067,0.534250301,0.410965061,0.480067804,0.690338745
-0.811603387,-0.93010595,-0.193473392,0.721037711,0.72791507,0.534250301,0.410965061,0.480067804
0.053083587,-0.811603387,-0.93010595,-0.193473392,0.835484061,0.72791507,0.534250301,0.410965061
0.868965756,0.053083587,-0.811603387,-0.93010595,0.746131772,0.835484061,0.72791507,0.534250301
0.885924816,0.868965756,0.053083587,-0.811603387,0.533485942,0.746131772,0.835484061,0.72791507
0.088368686,0.885924816,0.868965756,0.053083587,0.408423737,0.533485942,0.746131772,0.835484061
-0.790433207,0.088368686,0.885924816,0.868965756,0.485894687,0.408423737,0.533485942,0.746131772
-0.942514455,-0.790433207,0.088368686,0.885924816,0.674496554,0.485894687,0.408423737,0.533485942
-0.22805226,-0.942514455,-0.790433207,0.088368686,0.822935693,0.674496554,0.485894687,0.408423737
0.696080131,-0.22805226,-0.942514455,-0.790433207,0.791001414,0.822935693,0.674496554,0.485894687
0.980239659,0.696080131,-0.22805226,-0.942514455,0.594582727,0.791001414,0.822935693,0.674496554
0.363171365,0.980239659,0.696080131,-0.22805226,0.423844255,0.594582727,0.791001414,0.822935693
-0.587795007,0.363171365,0.980239659,0.696080131,0.446423844,0.423844255,0.594582727,0.791001414
-0.998345361,-0.587795007,0.363171365,0.980239659,0.618112446,0.446423844,0.423844255,0.594582727
-0.491021594,-0.998345361,-0.587795007,0.363171365,0.794752232,0.618112446,0.446423844,0.423844255
0.467745162,-0.491021594,-0.998345361,-0.587795007,0.821422742,0.794752232,0.618112446,0.446423844
0.996469173,0.467745162,-0.491021594,-0.998345361,0.65781511,0.821422742,0.794752232,0.618112446
0.609044022,0.996469173,0.467745162,-0.491021594,0.456523828,0.65781511,0.821422742,0.794752232
-0.338333394,0.609044022,0.996469173,0.467745162,0.419269624,0.456523828,0.65781511,0.821422742
-0.974648648,-0.338333394,0.609044022,0.996469173,0.562425612,0.419269624,0.456523828,0.65781511
-0.71487643,-0.974648648,-0.338333394,0.609044022,0.753705958,0.562425612,0.419269624,0.456523828
0.202149881,-0.71487643,-0.974648648,-0.338333394,0.835221419,0.753705958,0.562425612,0.419269624
0.933320524,0.202149881,-0.71487643,-0.974648648,0.717578545,0.835221419,0.753705958,0.562425612
0.806400581,0.933320524,0.202149881,-0.71487643,0.503818992,0.717578545,0.835221419,0.753705958
-0.061920337,0.806400581,0.933320524,0.202149881,0.407573389,0.503818992,0.717578545,0.835221419
-0.873311983,-0.061920337,0.806400581,0.933320524,0.510690636,0.407573389,0.503818992,0.717578545
-0.881784619,-0.873311983,-0.061920337,0.806400581,0.703496337,0.510690636,0.407573389,0.503818992
-0.079548543,-0.881784619,-0.873311983,-0.061920337,0.831676222,0.703496337,0.510690636,0.407573389
0.795824097,-0.079548543,-0.881784619,-0.873311983,0.768768603,0.831676222,0.703496337,0.510690636
0.939519732,0.795824097,-0.079548543,-0.881784619,0.561497782,0.768768603,0.831676222,0.703496337
0.219425258,0.939519732,0.795824097,-0.079548543,0.413411167,0.561497782,0.768768603,0.831676222
-0.702407786,0.219425258,0.939519732,0.795824097,0.466078683,0.413411167,0.561497782,0.768768603
-0.978450351,-0.702407786,0.219425258,0.939519732,0.648201379,0.466078683,0.413411167,0.561497782
-0.354910176,-0.978450351,-0.702407786,0.219425258,0.811529539,0.648201379,0.466078683,0.413411167
0.594932778,-0.354910176,-0.978450351,-0.702407786,0.807225951,0.811529539,0.648201379,0.466078683
0.997797279,0.594932778,-0.354910176,-0.978450351,0.624303727,0.807225951,0.811529539,0.648201379
0.483291564,0.997797279,0.594932778,-0.354910176,0.437132113,0.624303727,0.807225951,0.811529539
-0.475550187,0.483291564,0.997797279,0.594932778,0.431955236,0.437132113,0.624303727,0.807225951
-0.997173289,-0.475550187,0.483291564,0.997797279,0.591717586,0.431955236,0.437132113,0.624303727
-0.601999868,-0.997173289,-0.475550187,0.483291564,0.776904172,0.591717586,0.431955236,0.437132113
0.346649455,-0.601999868,-0.997173289,-0.475550187,0.830038874,0.776904172,0.591717586,0.431955236
0.976590868,0.346649455,-0.601999868,-0.997173289,0.68658936,0.830038874,0.776904172,0.591717586
0.70865914,0.976590868,0.346649455,-0.601999868,0.477100076,0.68658936,0.830038874,0.776904172
-0.210810533,0.70865914,0.976590868,0.346649455,0.411701824,0.477100076,0.68658936,0.830038874
-0.936461974,-0.210810533,0.70865914,0.976590868,0.537492551,0.411701824,0.477100076,0.68658936
-0.801134595,-0.936461974,-0.210810533,0.70865914,0.731064599,0.537492551,0.411701824,0.477100076
0.070752236,-0.801134595,-0.936461974,-0.210810533,0.83570763,0.731064599,0.537492551,0.411701824
0.877589788,0.070752236,-0.801134595,-0.936461974,0.742920833,0.83570763,0.731064599,0.537492551
0.877575336,0.877589788,0.070752236,-0.801134595,0.529866423,0.742920833,0.83570763,0.731064599
0.070722167,0.877575336,0.877589788,0.070752236,0.40805978,0.529866423,0.742920833,0.83570763
-0.801152636,0.070722167,0.877575336,0.877589788,0.488692311,0.40805978,0.529866423,0.742920833
-0.9364514,-0.801152636,0.070722167,0.877575336,0.67796342,0.488692311,0.40805978,0.529866423
-0.210781066,-0.9364514,-0.801152636,0.070722167,0.824200702,0.67796342,0.488692311,0.40805978
0.708680408,-0.210781066,-0.9364514,-0.801152636,0.788589717,0.824200702,0.67796342,0.488692311
0.976584383,0.708680408,-0.210781066,-0.9364514,0.590641688,0.788589717,0.824200702,0.67796342
0.34662118,0.976584383,0.708680408,-0.210781066,0.422357078,0.590641688,0.788589717,0.824200702
